date,Account,daily_pnl,num_trades,winning_trades,losing_trades,win_rate,avg_trade_size_usd,total_volume_usd,long_trades,short_trades,long_pct,sentiment_score,sentiment_class,sentiment_class_lag1,sentiment_score_lag1,sentiment_transition,is_transition_day,rolling_3d_pnl,num_trades_lag1,win_rate_lag1,avg_trade_size_usd_lag1,long_pct_lag1,total_volume_usd_lag1
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,5777,2401.0,280.0,0.8955613577023499,28304.44506318158,163514779.13,2646.0,3131.0,0.4580231954301541,44,Fear,Neutral,47.0,Neutral -> Fear,True,403501.648209,223.0,0.0,3261.5788789237668,1.0,727332.09
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.274031,250,250.0,0.0,1.0,525.47136,131367.84,0.0,250.0,0.0,74,Greed,Greed,72.0,Greed -> Greed,False,101539.274031,,,,,
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871,572,154.0,5.0,0.9685534591194969,891.0710664335664,509692.65,346.0,226.0,0.6048951048951049,44,Fear,Neutral,47.0,Neutral -> Fear,True,108518.614902,250.0,1.0,525.47136,0.0,131367.84
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992,202,104.0,0.0,1.0,16311.138465346536,3294849.97,104.0,98.0,0.5148514851485149,74,Greed,Greed,72.0,Greed -> Greed,False,327545.999992,,,,,
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.195073,932,410.0,68.0,0.8577405857740585,8098.078723175966,7547409.37,299.0,633.0,0.3208154506437768,44,Fear,Neutral,47.0,Neutral -> Fear,True,425815.195065,202.0,1.0,16311.138465346536,0.5148514851485149,3294849.97
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418,419,12.0,0.0,1.0,2305.200429594272,965878.98,11.0,408.0,0.026252983293556086,74,Greed,Greed,72.0,Greed -> Greed,False,51737.579418,,,,,
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.434741,939,372.0,108.0,0.775,2123.4002662406815,1993872.85,574.0,365.0,0.6112886048988285,44,Fear,Neutral,47.0,Neutral -> Fear,True,393683.014159,419.0,1.0,2305.200429594272,0.026252983293556086,965878.98
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.08419,3041,2506.0,108.0,0.9586840091813313,3677.8091055573827,11184217.49,1409.0,1632.0,0.4633344294639921,84,Extreme Greed,Extreme Greed,81.0,Extreme Greed -> Extreme Greed,False,187842.08419,,,,,
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.16271999999999998,6,1.0,2.0,0.3333333333333333,34.916666666666664,209.5,3.0,3.0,0.5,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,187842.24691,3041.0,0.9586840091813313,3677.8091055573827,0.4633344294639921,11184217.49
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.331877,1016,834.0,59.0,0.9339305711086227,2056.391348425197,2089293.61,545.0,471.0,0.5364173228346457,74,Greed,Greed,72.0,Greed -> Greed,False,225368.57878699998,6.0,0.3333333333333333,34.916666666666664,0.5,209.5
